id,label,element_class,chromosome,start,end,strand
MYC:Terminator,Terminator,Terminator,chr8,66741657,66741697,+
APC:CorePromoter,CorePromoter,Promoter,chr5,60917577,60917697,+
APC:ProximalPromoter,ProximalPromoter,Promoter,chr5,60917377,60917577,+
APC:TATABox,TATABox,PromoterMotif,chr5,60917647,60917655,+
APC:CpGIsland,CpGIsland,PromoterMotif,chr5,60917477,60918377,+
APC:FivePrimeUTR,FivePrimeUTR,UTR,chr5,60917727,60917907,+
APC:ThreePrimeUTR,ThreePrimeUTR,UTR,chr5,60920677,60921477,+
APC:PolyASignal,PolyASignal,PolyASignal,chr5,60921477,60921483,+
APC:Terminator,Terminator,Terminator,chr5,60921677,60921717,+
PTEN:CorePromoter,CorePromoter,Promoter,chr10,38456826,38456946,+
PTEN:ProximalPromoter,ProximalPromoter,Promoter,chr10,38456626,38456826,+
PTEN:TATABox,TATABox,PromoterMotif,chr10,38456896,38456904,+
PTEN:CpGIsland,CpGIsland,PromoterMotif,chr10,38456726,38457626,+
PTEN:FivePrimeUTR,FivePrimeUTR,UTR,chr10,38456976,38457156,+
PTEN:ThreePrimeUTR,ThreePrimeUTR,UTR,chr10,38459926,38460726,+
PTEN:PolyASignal,PolyASignal,PolyASignal,chr10,38460726,38460732,+
PTEN:Terminator,Terminator,Terminator,chr10,38460926,38460966,+
RB1:CorePromoter,CorePromoter,Promoter,chr13,198694886,198695006,+
RB1:ProximalPromoter,ProximalPromoter,Promoter,chr13,198694686,198694886,+
RB1:TATABox,TATABox,PromoterMotif,chr13,198694956,198694964,+
RB1:CpGIsland,CpGIsland,PromoterMotif,chr13,198694786,198695686,+
RB1:FivePrimeUTR,FivePrimeUTR,UTR,chr13,198695036,198695216,+
RB1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr13,198697986,198698786,+
RB1:PolyASignal,PolyASignal,PolyASignal,chr13,198698786,198698792,+
RB1:Terminator,Terminator,Terminator,chr13,198698986,198699026,+
CFTR:CorePromoter,CorePromoter,Promoter,chr7,28513238,28513358,+
CFTR:ProximalPromoter,ProximalPromoter,Promoter,chr7,28513038,28513238,+
CFTR:TATABox,TATABox,PromoterMotif,chr7,28513308,28513316,+
CFTR:CpGIsland,CpGIsland,PromoterMotif,chr7,28513138,28514038,+
CFTR:FivePrimeUTR,FivePrimeUTR,UTR,chr7,28513388,28513568,+
CFTR:ThreePrimeUTR,ThreePrimeUTR,UTR,chr7,28516338,28517138,+
CFTR:PolyASignal,PolyASignal,PolyASignal,chr7,28517138,28517144,+
CFTR:Terminator,Terminator,Terminator,chr7,28517338,28517378,+
HBB:CorePromoter,CorePromoter,Promoter,chr11,182650034,182650154,-
HBB:ProximalPromoter,ProximalPromoter,Promoter,chr11,182649834,182650034,-
HBB:TATABox,TATABox,PromoterMotif,chr11,182650104,182650112,-
HBB:CpGIsland,CpGIsland,PromoterMotif,chr11,182649934,182650834,-
HBB:FivePrimeUTR,FivePrimeUTR,UTR,chr11,182650184,182650364,-
HBB:ThreePrimeUTR,ThreePrimeUTR,UTR,chr11,182653134,182653934,-
HBB:PolyASignal,PolyASignal,PolyASignal,chr11,182653934,182653940,-
HBB:Terminator,Terminator,Terminator,chr11,182654134,182654174,-
HTT:CorePromoter,CorePromoter,Promoter,chr4,199821383,199821503,+
HTT:ProximalPromoter,ProximalPromoter,Promoter,chr4,199821183,199821383,+
HTT:TATABox,TATABox,PromoterMotif,chr4,199821453,199821461,+
HTT:CpGIsland,CpGIsland,PromoterMotif,chr4,199821283,199822183,+
HTT:FivePrimeUTR,FivePrimeUTR,UTR,chr4,199821533,199821713,+
HTT:ThreePrimeUTR,ThreePrimeUTR,UTR,chr4,199824483,199825283,+
HTT:PolyASignal,PolyASignal,PolyASignal,chr4,199825283,199825289,+
HTT:Terminator,Terminator,Terminator,chr4,199825483,199825523,+
DMD:CorePromoter,CorePromoter,Promoter,chrX,147395615,147395735,-
DMD:ProximalPromoter,ProximalPromoter,Promoter,chrX,147395415,147395615,-
DMD:TATABox,TATABox,PromoterMotif,chrX,147395685,147395693,-
DMD:CpGIsland,CpGIsland,PromoterMotif,chrX,147395515,147396415,-
DMD:FivePrimeUTR,FivePrimeUTR,UTR,chrX,147395765,147395945,-
DMD:ThreePrimeUTR,ThreePrimeUTR,UTR,chrX,147398715,147399515,-
DMD:PolyASignal,PolyASignal,PolyASignal,chrX,147399515,147399521,-
DMD:Terminator,Terminator,Terminator,chrX,147399715,147399755,-
FMR1:CorePromoter,CorePromoter,Promoter,chrX,24337364,24337484,+
FMR1:ProximalPromoter,ProximalPromoter,Promoter,chrX,24337164,24337364,+
FMR1:TATABox,TATABox,PromoterMotif,chrX,24337434,24337442,+
FMR1:CpGIsland,CpGIsland,PromoterMotif,chrX,24337264,24338164,+
FMR1:FivePrimeUTR,FivePrimeUTR,UTR,chrX,24337514,24337694,+
FMR1:ThreePrimeUTR,ThreePrimeUTR,UTR,chrX,24340464,24341264,+
FMR1:PolyASignal,PolyASignal,PolyASignal,chrX,24341264,24341270,+
FMR1:Terminator,Terminator,Terminator,chrX,24341464,24341504,+
MECP2:CorePromoter,CorePromoter,Promoter,chrX,159509026,159509146,-
MECP2:ProximalPromoter,ProximalPromoter,Promoter,chrX,159508826,159509026,-
MECP2:TATABox,TATABox,PromoterMotif,chrX,159509096,159509104,-
MECP2:CpGIsland,CpGIsland,PromoterMotif,chrX,159508926,159509826,-
MECP2:FivePrimeUTR,FivePrimeUTR,UTR,chrX,159509176,159509356,-
MECP2:ThreePrimeUTR,ThreePrimeUTR,UTR,chrX,159512126,159512926,-
MECP2:PolyASignal,PolyASignal,PolyASignal,chrX,159512926,159512932,-
MECP2:Terminator,Terminator,Terminator,chrX,159513126,159513166,-
APOE:CorePromoter,CorePromoter,Promoter,chr19,114258677,114258797,+
APOE:ProximalPromoter,ProximalPromoter,Promoter,chr19,114258477,114258677,+
APOE:TATABox,TATABox,PromoterMotif,chr19,114258747,114258755,+
APOE:CpGIsland,CpGIsland,PromoterMotif,chr19,114258577,114259477,+
APOE:FivePrimeUTR,FivePrimeUTR,UTR,chr19,114258827,114259007,+
APOE:ThreePrimeUTR,ThreePrimeUTR,UTR,chr19,114261777,114262577,+
APOE:PolyASignal,PolyASignal,PolyASignal,chr19,114262577,114262583,+
APOE:Terminator,Terminator,Terminator,chr19,114262777,114262817,+
APP:CorePromoter,CorePromoter,Promoter,chr21,9531499,9531619,-
APP:ProximalPromoter,ProximalPromoter,Promoter,chr21,9531299,9531499,-
APP:TATABox,TATABox,PromoterMotif,chr21,9531569,9531577,-
APP:CpGIsland,CpGIsland,PromoterMotif,chr21,9531399,9532299,-
APP:FivePrimeUTR,FivePrimeUTR,UTR,chr21,9531649,9531829,-
APP:ThreePrimeUTR,ThreePrimeUTR,UTR,chr21,9534599,9535399,-
APP:PolyASignal,PolyASignal,PolyASignal,chr21,9535399,9535405,-
APP:Terminator,Terminator,Terminator,chr21,9535599,9535639,-
PSEN1:CorePromoter,CorePromoter,Promoter,chr14,8998530,8998650,+
PSEN1:ProximalPromoter,ProximalPromoter,Promoter,chr14,8998330,8998530,+
PSEN1:TATABox,TATABox,PromoterMotif,chr14,8998600,8998608,+
PSEN1:CpGIsland,CpGIsland,PromoterMotif,chr14,8998430,8999330,+
PSEN1:FivePrimeUTR,FivePrimeUTR,UTR,chr14,8998680,8998860,+
PSEN1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr14,9001630,9002430,+
PSEN1:PolyASignal,PolyASignal,PolyASignal,chr14,9002430,9002436,+
PSEN1:Terminator,Terminator,Terminator,chr14,9002630,9002670,+
SNCA:CorePromoter,CorePromoter,Promoter,chr4,26151025,26151145,-
SNCA:ProximalPromoter,ProximalPromoter,Promoter,chr4,26150825,26151025,-
SNCA:TATABox,TATABox,PromoterMotif,chr4,26151095,26151103,-
SNCA:CpGIsland,CpGIsland,PromoterMotif,chr4,26150925,26151825,-
SNCA:FivePrimeUTR,FivePrimeUTR,UTR,chr4,26151175,26151355,-
SNCA:ThreePrimeUTR,ThreePrimeUTR,UTR,chr4,26154125,26154925,-
SNCA:PolyASignal,PolyASignal,PolyASignal,chr4,26154925,26154931,-
SNCA:Terminator,Terminator,Terminator,chr4,26155125,26155165,-
LRRK2:CorePromoter,CorePromoter,Promoter,chr12,59690084,59690204,+
LRRK2:ProximalPromoter,ProximalPromoter,Promoter,chr12,59689884,59690084,+
LRRK2:TATABox,TATABox,PromoterMotif,chr12,59690154,59690162,+
LRRK2:CpGIsland,CpGIsland,PromoterMotif,chr12,59689984,59690884,+
LRRK2:FivePrimeUTR,FivePrimeUTR,UTR,chr12,59690234,59690414,+
LRRK2:ThreePrimeUTR,ThreePrimeUTR,UTR,chr12,59693184,59693984,+
LRRK2:PolyASignal,PolyASignal,PolyASignal,chr12,59693984,59693990,+
LRRK2:Terminator,Terminator,Terminator,chr12,59694184,59694224,+
SOD1:CorePromoter,CorePromoter,Promoter,chr21,63454333,63454453,+
SOD1:ProximalPromoter,ProximalPromoter,Promoter,chr21,63454133,63454333,+
SOD1:TATABox,TATABox,PromoterMotif,chr21,63454403,63454411,+
SOD1:CpGIsland,CpGIsland,PromoterMotif,chr21,63454233,63455133,+
SOD1:FivePrimeUTR,FivePrimeUTR,UTR,chr21,63454483,63454663,+
SOD1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr21,63457433,63458233,+
SOD1:PolyASignal,PolyASignal,PolyASignal,chr21,63458233,63458239,+
SOD1:Terminator,Terminator,Terminator,chr21,63458433,63458473,+
G6PD:CorePromoter,CorePromoter,Promoter,chrX,136655177,136655297,+
G6PD:ProximalPromoter,ProximalPromoter,Promoter,chrX,136654977,136655177,+
G6PD:TATABox,TATABox,PromoterMotif,chrX,136655247,136655255,+
G6PD:CpGIsland,CpGIsland,PromoterMotif,chrX,136655077,136655977,+
G6PD:FivePrimeUTR,FivePrimeUTR,UTR,chrX,136655327,136655507,+
G6PD:ThreePrimeUTR,ThreePrimeUTR,UTR,chrX,136658277,136659077,+
G6PD:PolyASignal,PolyASignal,PolyASignal,chrX,136659077,136659083,+
G6PD:Terminator,Terminator,Terminator,chrX,136659277,136659317,+
LDLR:CorePromoter,CorePromoter,Promoter,chr19,162603072,162603192,+
LDLR:ProximalPromoter,ProximalPromoter,Promoter,chr19,162602872,162603072,+
LDLR:TATABox,TATABox,PromoterMotif,chr19,162603142,162603150,+
LDLR:CpGIsland,CpGIsland,PromoterMotif,chr19,162602972,162603872,+
LDLR:FivePrimeUTR,FivePrimeUTR,UTR,chr19,162603222,162603402,+
LDLR:ThreePrimeUTR,ThreePrimeUTR,UTR,chr19,162606172,162606972,+
LDLR:PolyASignal,PolyASignal,PolyASignal,chr19,162606972,162606978,+
LDLR:Terminator,Terminator,Terminator,chr19,162607172,162607212,+
MLH1:CorePromoter,CorePromoter,Promoter,chr3,8123095,8123215,+
MLH1:ProximalPromoter,ProximalPromoter,Promoter,chr3,8122895,8123095,+
MLH1:TATABox,TATABox,PromoterMotif,chr3,8123165,8123173,+
MLH1:CpGIsland,CpGIsland,PromoterMotif,chr3,8122995,8123895,+
MLH1:FivePrimeUTR,FivePrimeUTR,UTR,chr3,8123245,8123425,+
MLH1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr3,8126195,8126995,+
MLH1:PolyASignal,PolyASignal,PolyASignal,chr3,8126995,8127001,+
MLH1:Terminator,Terminator,Terminator,chr3,8127195,8127235,+
MSH2:CorePromoter,CorePromoter,Promoter,chr2,151657974,151658094,+
MSH2:ProximalPromoter,ProximalPromoter,Promoter,chr2,151657774,151657974,+
MSH2:TATABox,TATABox,PromoterMotif,chr2,151658044,151658052,+
MSH2:CpGIsland,CpGIsland,PromoterMotif,chr2,151657874,151658774,+
MSH2:FivePrimeUTR,FivePrimeUTR,UTR,chr2,151658124,151658304,+
MSH2:ThreePrimeUTR,ThreePrimeUTR,UTR,chr2,151661074,151661874,+
MSH2:PolyASignal,PolyASignal,PolyASignal,chr2,151661874,151661880,+
MSH2:Terminator,Terminator,Terminator,chr2,151662074,151662114,+
VHL:CorePromoter,CorePromoter,Promoter,chr3,54374974,54375094,+
VHL:ProximalPromoter,ProximalPromoter,Promoter,chr3,54374774,54374974,+
VHL:TATABox,TATABox,PromoterMotif,chr3,54375044,54375052,+
VHL:CpGIsland,CpGIsland,PromoterMotif,chr3,54374874,54375774,+
VHL:FivePrimeUTR,FivePrimeUTR,UTR,chr3,54375124,54375304,+
VHL:ThreePrimeUTR,ThreePrimeUTR,UTR,chr3,54378074,54378874,+
VHL:PolyASignal,PolyASignal,PolyASignal,chr3,54378874,54378880,+
VHL:Terminator,Terminator,Terminator,chr3,54379074,54379114,+
NF1:CorePromoter,CorePromoter,Promoter,chr17,193204951,193205071,+
NF1:ProximalPromoter,ProximalPromoter,Promoter,chr17,193204751,193204951,+
NF1:TATABox,TATABox,PromoterMotif,chr17,193205021,193205029,+
NF1:CpGIsland,CpGIsland,PromoterMotif,chr17,193204851,193205751,+
NF1:FivePrimeUTR,FivePrimeUTR,UTR,chr17,193205101,193205281,+
NF1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr17,193208051,193208851,+
NF1:PolyASignal,PolyASignal,PolyASignal,chr17,193208851,193208857,+
NF1:Terminator,Terminator,Terminator,chr17,193209051,193209091,+
NF2:CorePromoter,CorePromoter,Promoter,chr22,175451924,175452044,+
NF2:ProximalPromoter,ProximalPromoter,Promoter,chr22,175451724,175451924,+
NF2:TATABox,TATABox,PromoterMotif,chr22,175451994,175452002,+
NF2:CpGIsland,CpGIsland,PromoterMotif,chr22,175451824,175452724,+
NF2:FivePrimeUTR,FivePrimeUTR,UTR,chr22,175452074,175452254,+
NF2:ThreePrimeUTR,ThreePrimeUTR,UTR,chr22,175455024,175455824,+
NF2:PolyASignal,PolyASignal,PolyASignal,chr22,175455824,175455830,+
NF2:Terminator,Terminator,Terminator,chr22,175456024,175456064,+
TSC1:CorePromoter,CorePromoter,Promoter,chr9,189260388,189260508,-
TSC1:ProximalPromoter,ProximalPromoter,Promoter,chr9,189260188,189260388,-
TSC1:TATABox,TATABox,PromoterMotif,chr9,189260458,189260466,-
TSC1:CpGIsland,CpGIsland,PromoterMotif,chr9,189260288,189261188,-
TSC1:FivePrimeUTR,FivePrimeUTR,UTR,chr9,189260538,189260718,-
TSC1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr9,189263488,189264288,-
TSC1:PolyASignal,PolyASignal,PolyASignal,chr9,189264288,189264294,-
TSC1:Terminator,Terminator,Terminator,chr9,189264488,189264528,-
TSC2:CorePromoter,CorePromoter,Promoter,chr16,147281515,147281635,+
TSC2:ProximalPromoter,ProximalPromoter,Promoter,chr16,147281315,147281515,+
TSC2:TATABox,TATABox,PromoterMotif,chr16,147281585,147281593,+
TSC2:CpGIsland,CpGIsland,PromoterMotif,chr16,147281415,147282315,+
TSC2:FivePrimeUTR,FivePrimeUTR,UTR,chr16,147281665,147281845,+
TSC2:ThreePrimeUTR,ThreePrimeUTR,UTR,chr16,147284615,147285415,+
TSC2:PolyASignal,PolyASignal,PolyASignal,chr16,147285415,147285421,+
TSC2:Terminator,Terminator,Terminator,chr16,147285615,147285655,+
FBN1:CorePromoter,CorePromoter,Promoter,chr15,113613894,113614014,-
FBN1:ProximalPromoter,ProximalPromoter,Promoter,chr15,113613694,113613894,-
FBN1:TATABox,TATABox,PromoterMotif,chr15,113613964,113613972,-
FBN1:CpGIsland,CpGIsland,PromoterMotif,chr15,113613794,113614694,-
FBN1:FivePrimeUTR,FivePrimeUTR,UTR,chr15,113614044,113614224,-
FBN1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr15,113616994,113617794,-
FBN1:PolyASignal,PolyASignal,PolyASignal,chr15,113617794,113617800,-
FBN1:Terminator,Terminator,Terminator,chr15,113617994,113618034,-
COL1A1:CorePromoter,CorePromoter,Promoter,chr17,60173978,60174098,-
COL1A1:ProximalPromoter,ProximalPromoter,Promoter,chr17,60173778,60173978,-
COL1A1:TATABox,TATABox,PromoterMotif,chr17,60174048,60174056,-
COL1A1:CpGIsland,CpGIsland,PromoterMotif,chr17,60173878,60174778,-
COL1A1:FivePrimeUTR,FivePrimeUTR,UTR,chr17,60174128,60174308,-
COL1A1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr17,60177078,60177878,-
COL1A1:PolyASignal,PolyASignal,PolyASignal,chr17,60177878,60177884,-
COL1A1:Terminator,Terminator,Terminator,chr17,60178078,60178118,-
PAH:CorePromoter,CorePromoter,Promoter,chr12,121583534,121583654,-
PAH:ProximalPromoter,ProximalPromoter,Promoter,chr12,121583334,121583534,-
PAH:TATABox,TATABox,PromoterMotif,chr12,121583604,121583612,-
PAH:CpGIsland,CpGIsland,PromoterMotif,chr12,121583434,121584334,-
PAH:FivePrimeUTR,FivePrimeUTR,UTR,chr12,121583684,121583864,-
PAH:ThreePrimeUTR,ThreePrimeUTR,UTR,chr12,121586634,121587434,-
PAH:PolyASignal,PolyASignal,PolyASignal,chr12,121587434,121587440,-
PAH:Terminator,Terminator,Terminator,chr12,121587634,121587674,-
GBA:CorePromoter,CorePromoter,Promoter,chr1,159179702,159179822,+
GBA:ProximalPromoter,ProximalPromoter,Promoter,chr1,159179502,159179702,+
GBA:TATABox,TATABox,PromoterMotif,chr1,159179772,159179780,+
GBA:CpGIsland,CpGIsland,PromoterMotif,chr1,159179602,159180502,+
GBA:FivePrimeUTR,FivePrimeUTR,UTR,chr1,159179852,159180032,+
GBA:ThreePrimeUTR,ThreePrimeUTR,UTR,chr1,159182802,159183602,+
GBA:PolyASignal,PolyASignal,PolyASignal,chr1,159183602,159183608,+
GBA:Terminator,Terminator,Terminator,chr1,159183802,159183842,+
SMN1:CorePromoter,CorePromoter,Promoter,chr5,75676149,75676269,+
SMN1:ProximalPromoter,ProximalPromoter,Promoter,chr5,75675949,75676149,+
SMN1:TATABox,TATABox,PromoterMotif,chr5,75676219,75676227,+
SMN1:CpGIsland,CpGIsland,PromoterMotif,chr5,75676049,75676949,+
SMN1:FivePrimeUTR,FivePrimeUTR,UTR,chr5,75676299,75676479,+
SMN1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr5,75679249,75680049,+
SMN1:PolyASignal,PolyASignal,PolyASignal,chr5,75680049,75680055,+
SMN1:Terminator,Terminator,Terminator,chr5,75680249,75680289,+
ATM:CorePromoter,CorePromoter,Promoter,chr11,218279732,218279852,+
ATM:ProximalPromoter,ProximalPromoter,Promoter,chr11,218279532,218279732,+
ATM:TATABox,TATABox,PromoterMotif,chr11,218279802,218279810,+
ATM:CpGIsland,CpGIsland,PromoterMotif,chr11,218279632,218280532,+
ATM:FivePrimeUTR,FivePrimeUTR,UTR,chr11,218279882,218280062,+
ATM:ThreePrimeUTR,ThreePrimeUTR,UTR,chr11,218282832,218283632,+
ATM:PolyASignal,PolyASignal,PolyASignal,chr11,218283632,218283638,+
ATM:Terminator,Terminator,Terminator,chr11,218283832,218283872,+
WT1:CorePromoter,CorePromoter,Promoter,chr11,234350928,234351048,-
WT1:ProximalPromoter,ProximalPromoter,Promoter,chr11,234350728,234350928,-
WT1:TATABox,TATABox,PromoterMotif,chr11,234350998,234351006,-
WT1:CpGIsland,CpGIsland,PromoterMotif,chr11,234350828,234351728,-
WT1:FivePrimeUTR,FivePrimeUTR,UTR,chr11,234351078,234351258,-
WT1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr11,234354028,234354828,-
WT1:PolyASignal,PolyASignal,PolyASignal,chr11,234354828,234354834,-
WT1:Terminator,Terminator,Terminator,chr11,234355028,234355068,-
MEN1:CorePromoter,CorePromoter,Promoter,chr11,2744397,2744517,-
MEN1:ProximalPromoter,ProximalPromoter,Promoter,chr11,2744197,2744397,-
MEN1:TATABox,TATABox,PromoterMotif,chr11,2744467,2744475,-
MEN1:CpGIsland,CpGIsland,PromoterMotif,chr11,2744297,2745197,-
MEN1:FivePrimeUTR,FivePrimeUTR,UTR,chr11,2744547,2744727,-
MEN1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr11,2747497,2748297,-
MEN1:PolyASignal,PolyASignal,PolyASignal,chr11,2748297,2748303,-
MEN1:Terminator,Terminator,Terminator,chr11,2748497,2748537,-
RET:CorePromoter,CorePromoter,Promoter,chr10,204690700,204690820,+
RET:ProximalPromoter,ProximalPromoter,Promoter,chr10,204690500,204690700,+
RET:TATABox,TATABox,PromoterMotif,chr10,204690770,204690778,+
RET:CpGIsland,CpGIsland,PromoterMotif,chr10,204690600,204691500,+
RET:FivePrimeUTR,FivePrimeUTR,UTR,chr10,204690850,204691030,+
RET:ThreePrimeUTR,ThreePrimeUTR,UTR,chr10,204693800,204694600,+
RET:PolyASignal,PolyASignal,PolyASignal,chr10,204694600,204694606,+
RET:Terminator,Terminator,Terminator,chr10,204694800,204694840,+
KIT:CorePromoter,CorePromoter,Promoter,chr4,217310359,217310479,+
KIT:ProximalPromoter,ProximalPromoter,Promoter,chr4,217310159,217310359,+
KIT:TATABox,TATABox,PromoterMotif,chr4,217310429,217310437,+
KIT:CpGIsland,CpGIsland,PromoterMotif,chr4,217310259,217311159,+
KIT:FivePrimeUTR,FivePrimeUTR,UTR,chr4,217310509,217310689,+
KIT:ThreePrimeUTR,ThreePrimeUTR,UTR,chr4,217313459,217314259,+
KIT:PolyASignal,PolyASignal,PolyASignal,chr4,217314259,217314265,+
KIT:Terminator,Terminator,Terminator,chr4,217314459,217314499,+
ABL1:CorePromoter,CorePromoter,Promoter,chr9,43858120,43858240,+
ABL1:ProximalPromoter,ProximalPromoter,Promoter,chr9,43857920,43858120,+
ABL1:TATABox,TATABox,PromoterMotif,chr9,43858190,43858198,+
ABL1:CpGIsland,CpGIsland,PromoterMotif,chr9,43858020,43858920,+
ABL1:FivePrimeUTR,FivePrimeUTR,UTR,chr9,43858270,43858450,+
ABL1:ThreePrimeUTR,ThreePrimeUTR,UTR,chr9,43861220,43862020,+
ABL1:PolyASignal,PolyASignal,PolyASignal,chr9,43862020,43862026,+
ABL1:Terminator,Terminator,Terminator,chr9,43862220,43862260,+
BCR:CorePromoter,CorePromoter,Promoter,chr22,188405267,188405387,+
BCR:ProximalPromoter,ProximalPromoter,Promoter,chr22,188405067,188405267,+
BCR:TATABox,TATABox,PromoterMotif,chr22,188405337,188405345,+
BCR:CpGIsland,CpGIsland,PromoterMotif,chr22,188405167,188406067,+
BCR:FivePrimeUTR,FivePrimeUTR,UTR,chr22,188405417,188405597,+
BCR:ThreePrimeUTR,ThreePrimeUTR,UTR,chr22,188408367,188409167,+
BCR:PolyASignal,PolyASignal,PolyASignal,chr22,188409167,188409173,+
BCR:Terminator,Terminator,Terminator,chr22,188409367,188409407,+
FLT3:CorePromoter,CorePromoter,Promoter,chr13,114444589,114444709,-
FLT3:ProximalPromoter,ProximalPromoter,Promoter,chr13,114444389,114444589,-
FLT3:TATABox,TATABox,PromoterMotif,chr13,114444659,114444667,-
FLT3:CpGIsland,CpGIsland,PromoterMotif,chr13,114444489,114445389,-
FLT3:FivePrimeUTR,FivePrimeUTR,UTR,chr13,114444739,114444919,-
FLT3:ThreePrimeUTR,ThreePrimeUTR,UTR,chr13,114447689,114448489,-
FLT3:PolyASignal,PolyASignal,PolyASignal,chr13,114448489,114448495,-
FLT3:Terminator,Terminator,Terminator,chr13,114448689,114448729,-
JAK2:CorePromoter,CorePromoter,Promoter,chr9,92335203,92335323,+
JAK2:ProximalPromoter,ProximalPromoter,Promoter,chr9,92335003,92335203,+
JAK2:TATABox,TATABox,PromoterMotif,chr9,92335273,92335281,+
JAK2:CpGIsland,CpGIsland,PromoterMotif,chr9,92335103,92336003,+
JAK2:FivePrimeUTR,FivePrimeUTR,UTR,chr9,92335353,92335533,+
JAK2:ThreePrimeUTR,ThreePrimeUTR,UTR,chr9,92338303,92339103,+
JAK2:PolyASignal,PolyASignal,PolyASignal,chr9,92339103,92339109,+
JAK2:Terminator,Terminator,Terminator,chr9,92339303,92339343,+
