id,label,chromosome,start,end,tissue_specificity,activity_score
SMN1:Enhancer1,Enhancer,chr5,75706249,75706749,bone_marrow,0.39
SMN1:Enhancer2,Enhancer,chr5,75796249,75796749,lung,0.57
ATM:Enhancer1,Enhancer,chr11,218309832,218310332,ubiquitous,0.6
WT1:Enhancer1,Enhancer,chr11,234339028,234339528,pancreas,0.23
MEN1:Enhancer1,Enhancer,chr11,2719497,2719997,breast,0.89
RET:Enhancer1,Enhancer,chr10,204810800,204811300,muscle,0.29
RET:Enhancer2,Enhancer,chr10,204698800,204699300,brain,0.28
KIT:Enhancer1,Enhancer,chr4,217260459,217260959,muscle,0.42
KIT:Enhancer2,Enhancer,chr4,217285459,217285959,bone_marrow,0.71
ABL1:Enhancer1,Enhancer,chr9,43833220,43833720,skin,0.4
BCR:Enhancer1,Enhancer,chr22,188413367,188413867,colon,0.61
BCR:Enhancer2,Enhancer,chr22,188435367,188435867,liver,0.78
FLT3:Enhancer1,Enhancer,chr13,114452689,114453189,skin,0.68
FLT3:Enhancer2,Enhancer,chr13,114564689,114565189,bone_marrow,0.9
JAK2:Enhancer1,Enhancer,chr9,92285303,92285803,brain,0.27
IDH1:Enhancer1,Enhancer,chr2,75578520,75579020,kidney,0.45
CDKN2A:Enhancer1,Enhancer,chr9,42724211,42724711,liver,0.35
CDKN2A:Enhancer2,Enhancer,chr9,42711211,42711711,ubiquitous,0.71
MITF:Enhancer1,Enhancer,chr3,58805847,58806347,lung,0.37
MITF:Enhancer2,Enhancer,chr3,58785847,58786347,bone_marrow,0.74
VEGFA:Enhancer1,Enhancer,chr6,205956894,205957394,skin,0.76
TNF:Enhancer1,Enhancer,chr6,91303911,91304411,colon,0.34
TNF:Enhancer2,Enhancer,chr6,91341911,91342411,brain,0.55
IL6:Enhancer1,Enhancer,chr7,28411862,28412362,bone_marrow,0.6
INS:Enhancer1,Enhancer,chr11,25904273,25904773,kidney,0.72
GCK:Enhancer1,Enhancer,chr7,102973959,102974459,colon,0.93
HNF1A:Enhancer1,Enhancer,chr12,26992105,26992605,bone_marrow,0.31
F8:Enhancer1,Enhancer,chrX,97337792,97338292,breast,0.47
F8:Enhancer2,Enhancer,chrX,97337792,97338292,blood,0.26
F9:Enhancer1,Enhancer,chrX,228505537,228506037,breast,0.49
F9:Enhancer2,Enhancer,chrX,228485537,228486037,muscle,0.6
CYP21A2:Enhancer1,Enhancer,chr6,93359911,93360411,colon,0.39
CYP21A2:Enhancer2,Enhancer,chr6,93317911,93318411,brain,0.87
