id,label,chromosome,start,end,tf_symbol
APOE:TFBS:STAT3,TFBindingSite,chr19,114258601,114258613,STAT3
APP:TFBS:TBP,TFBindingSite,chr21,9531523,9531535,TBP
APP:TFBS:HIF1A,TFBindingSite,chr21,9531437,9531449,HIF1A
PSEN1:TFBS:CREB1,TFBindingSite,chr14,8998486,8998498,CREB1
PSEN1:TFBS:YY1,TFBindingSite,chr14,8998550,8998562,YY1
SNCA:TFBS:YY1,TFBindingSite,chr4,26151090,26151102,YY1
SNCA:TFBS:GATA1,TFBindingSite,chr4,26150927,26150939,GATA1
SNCA:TFBS:HIF1A,TFBindingSite,chr4,26151104,26151116,HIF1A
LRRK2:TFBS:HIF1A,TFBindingSite,chr12,59690005,59690017,HIF1A
LRRK2:TFBS:NFKB1,TFBindingSite,chr12,59690158,59690170,NFKB1
LRRK2:TFBS:GATA1,TFBindingSite,chr12,59690152,59690164,GATA1
LRRK2:TFBS:TBP,TFBindingSite,chr12,59689970,59689982,TBP
SOD1:TFBS:CTCF,TFBindingSite,chr21,63454352,63454364,CTCF
SOD1:TFBS:NFKB1,TFBindingSite,chr21,63454294,63454306,NFKB1
G6PD:TFBS:HIF1A,TFBindingSite,chrX,136655106,136655118,HIF1A
G6PD:TFBS:STAT3,TFBindingSite,chrX,136655040,136655052,STAT3
G6PD:TFBS:TBP,TFBindingSite,chrX,136655057,136655069,TBP
LDLR:TFBS:CTCF,TFBindingSite,chr19,162603033,162603045,CTCF
LDLR:TFBS:YY1,TFBindingSite,chr19,162602940,162602952,YY1
LDLR:TFBS:GATA1,TFBindingSite,chr19,162603007,162603019,GATA1
MLH1:TFBS:CREB1,TFBindingSite,chr3,8123127,8123139,CREB1
MLH1:TFBS:YY1,TFBindingSite,chr3,8122999,8123011,YY1
MLH1:TFBS:SP1,TFBindingSite,chr3,8123152,8123164,SP1
MLH1:TFBS:CTCF,TFBindingSite,chr3,8123027,8123039,CTCF
MSH2:TFBS:GATA1,TFBindingSite,chr2,151657869,151657881,GATA1
MSH2:TFBS:CREB1,TFBindingSite,chr2,151657841,151657853,CREB1
VHL:TFBS:GATA1,TFBindingSite,chr3,54374982,54374994,GATA1
VHL:TFBS:TBP,TFBindingSite,chr3,54374990,54375002,TBP
VHL:TFBS:SP1,TFBindingSite,chr3,54374929,54374941,SP1
VHL:TFBS:CREB1,TFBindingSite,chr3,54374847,54374859,CREB1
NF1:TFBS:CTCF,TFBindingSite,chr17,193204836,193204848,CTCF
NF1:TFBS:TBP,TFBindingSite,chr17,193204970,193204982,TBP
NF2:TFBS:HIF1A,TFBindingSite,chr22,175451865,175451877,HIF1A
NF2:TFBS:TBP,TFBindingSite,chr22,175451986,175451998,TBP
TSC1:TFBS:E2F1,TFBindingSite,chr9,189260410,189260422,E2F1
TSC1:TFBS:CREB1,TFBindingSite,chr9,189260273,189260285,CREB1
TSC1:TFBS:SP1,TFBindingSite,chr9,189260348,189260360,SP1
TSC1:TFBS:GATA1,TFBindingSite,chr9,189260357,189260369,GATA1
TSC2:TFBS:E2F1,TFBindingSite,chr16,147281513,147281525,E2F1
TSC2:TFBS:CREB1,TFBindingSite,chr16,147281427,147281439,CREB1
FBN1:TFBS:CTCF,TFBindingSite,chr15,113613833,113613845,CTCF
FBN1:TFBS:STAT3,TFBindingSite,chr15,113613856,113613868,STAT3
FBN1:TFBS:NFKB1,TFBindingSite,chr15,113613900,113613912,NFKB1
FBN1:TFBS:GATA1,TFBindingSite,chr15,113613912,113613924,GATA1
COL1A1:TFBS:CREB1,TFBindingSite,chr17,60173982,60173994,CREB1
COL1A1:TFBS:SP1,TFBindingSite,chr17,60173944,60173956,SP1
COL1A1:TFBS:CTCF,TFBindingSite,chr17,60173962,60173974,CTCF
COL1A1:TFBS:E2F1,TFBindingSite,chr17,60173997,60174009,E2F1
PAH:TFBS:TBP,TFBindingSite,chr12,121583480,121583492,TBP
PAH:TFBS:GATA1,TFBindingSite,chr12,121583575,121583587,GATA1
PAH:TFBS:CTCF,TFBindingSite,chr12,121583437,121583449,CTCF
GBA:TFBS:TBP,TFBindingSite,chr1,159179740,159179752,TBP
GBA:TFBS:CTCF,TFBindingSite,chr1,159179707,159179719,CTCF
GBA:TFBS:GATA1,TFBindingSite,chr1,159179638,159179650,GATA1
SMN1:TFBS:YY1,TFBindingSite,chr5,75676141,75676153,YY1
SMN1:TFBS:NFKB1,TFBindingSite,chr5,75676165,75676177,NFKB1
SMN1:TFBS:TBP,TFBindingSite,chr5,75676202,75676214,TBP
SMN1:TFBS:STAT3,TFBindingSite,chr5,75676154,75676166,STAT3
ATM:TFBS:CTCF,TFBindingSite,chr11,218279756,218279768,CTCF
ATM:TFBS:E2F1,TFBindingSite,chr11,218279616,218279628,E2F1
WT1:TFBS:E2F1,TFBindingSite,chr11,234350957,234350969,E2F1
WT1:TFBS:HIF1A,TFBindingSite,chr11,234350880,234350892,HIF1A
WT1:TFBS:NFKB1,TFBindingSite,chr11,234350802,234350814,NFKB1
MEN1:TFBS:E2F1,TFBindingSite,chr11,2744410,2744422,E2F1
MEN1:TFBS:TBP,TFBindingSite,chr11,2744410,2744422,TBP
MEN1:TFBS:HIF1A,TFBindingSite,chr11,2744305,2744317,HIF1A
MEN1:TFBS:SP1,TFBindingSite,chr11,2744394,2744406,SP1
RET:TFBS:YY1,TFBindingSite,chr10,204690554,204690566,YY1
RET:TFBS:HIF1A,TFBindingSite,chr10,204690709,204690721,HIF1A
RET:TFBS:NFKB1,TFBindingSite,chr10,204690562,204690574,NFKB1
KIT:TFBS:NFKB1,TFBindingSite,chr4,217310422,217310434,NFKB1
KIT:TFBS:STAT3,TFBindingSite,chr4,217310355,217310367,STAT3
ABL1:TFBS:SP1,TFBindingSite,chr9,43857998,43858010,SP1
ABL1:TFBS:E2F1,TFBindingSite,chr9,43858187,43858199,E2F1
BCR:TFBS:SP1,TFBindingSite,chr22,188405131,188405143,SP1
BCR:TFBS:CTCF,TFBindingSite,chr22,188405329,188405341,CTCF
BCR:TFBS:GATA1,TFBindingSite,chr22,188405277,188405289,GATA1
FLT3:TFBS:HIF1A,TFBindingSite,chr13,114444458,114444470,HIF1A
FLT3:TFBS:E2F1,TFBindingSite,chr13,114444589,114444601,E2F1
JAK2:TFBS:YY1,TFBindingSite,chr9,92335133,92335145,YY1
JAK2:TFBS:SP1,TFBindingSite,chr9,92335193,92335205,SP1
IDH1:TFBS:GATA1,TFBindingSite,chr2,75590284,75590296,GATA1
IDH1:TFBS:STAT3,TFBindingSite,chr2,75590294,75590306,STAT3
IDH1:TFBS:TBP,TFBindingSite,chr2,75590343,75590355,TBP
IDH1:TFBS:NFKB1,TFBindingSite,chr2,75590288,75590300,NFKB1
CDKN2A:TFBS:HIF1A,TFBindingSite,chr9,42736151,42736163,HIF1A
CDKN2A:TFBS:GATA1,TFBindingSite,chr9,42736039,42736051,GATA1
CDKN2A:TFBS:E2F1,TFBindingSite,chr9,42736179,42736191,E2F1
MITF:TFBS:HIF1A,TFBindingSite,chr3,58797826,58797838,HIF1A
MITF:TFBS:SP1,TFBindingSite,chr3,58797753,58797765,SP1
VEGFA:TFBS:HIF1A,TFBindingSite,chr6,205948763,205948775,HIF1A
VEGFA:TFBS:SP1,TFBindingSite,chr6,205948765,205948777,SP1
TNF:TFBS:TBP,TFBindingSite,chr6,91353805,91353817,TBP
TNF:TFBS:HIF1A,TFBindingSite,chr6,91353862,91353874,HIF1A
TNF:TFBS:CREB1,TFBindingSite,chr6,91353705,91353717,CREB1
TNF:TFBS:E2F1,TFBindingSite,chr6,91353854,91353866,E2F1
IL6:TFBS:CTCF,TFBindingSite,chr7,28436730,28436742,CTCF
IL6:TFBS:E2F1,TFBindingSite,chr7,28436691,28436703,E2F1
IL6:TFBS:YY1,TFBindingSite,chr7,28436833,28436845,YY1
IL6:TFBS:TBP,TFBindingSite,chr7,28436685,28436697,TBP
INS:TFBS:GATA1,TFBindingSite,chr11,25896046,25896058,GATA1
INS:TFBS:TBP,TFBindingSite,chr11,25896088,25896100,TBP
GCK:TFBS:E2F1,TFBindingSite,chr7,102985855,102985867,E2F1
GCK:TFBS:TBP,TFBindingSite,chr7,102985721,102985733,TBP
HNF1A:TFBS:NFKB1,TFBindingSite,chr12,26961942,26961954,NFKB1
HNF1A:TFBS:TBP,TFBindingSite,chr12,26961906,26961918,TBP
HNF1A:TFBS:CREB1,TFBindingSite,chr12,26962062,26962074,CREB1
F8:TFBS:YY1,TFBindingSite,chrX,97362614,97362626,YY1
F8:TFBS:SP1,TFBindingSite,chrX,97362575,97362587,SP1
F8:TFBS:E2F1,TFBindingSite,chrX,97362667,97362679,E2F1
F8:TFBS:HIF1A,TFBindingSite,chrX,97362700,97362712,HIF1A
F9:TFBS:NFKB1,TFBindingSite,chrX,228497394,228497406,NFKB1
F9:TFBS:CREB1,TFBindingSite,chrX,228497300,228497312,CREB1
F9:TFBS:SP1,TFBindingSite,chrX,228497386,228497398,SP1
F9:TFBS:E2F1,TFBindingSite,chrX,228497308,228497320,E2F1
CYP21A2:TFBS:GATA1,TFBindingSite,chr6,93329777,93329789,GATA1
CYP21A2:TFBS:NFKB1,TFBindingSite,chr6,93329678,93329690,NFKB1
CYP21A2:TFBS:CTCF,TFBindingSite,chr6,93329863,93329875,CTCF
